Title,Address,State,Zipcode,PhoneNumber,Description
Cleveland Clinic: Weston's Krupa Center,"3250 Meridian Parkway, Weston, FL 33331",FL,33331,(954) 659-5951,There are a limited number of testing kits available at this location. Every patient needs to call and be registered before being transferred to a Nurseline for triage. During triage the nurse will determine if you meet the testing criteria and will try to schedule an appointment if one is available.
Community Health - Martin Luther King Jr. Clinica,"810 W Mowry Drive, Homestead, FL 33030",FL,33030,(305) 248-4334,"In order to get tested, you must have traveled to any of the high-risk countries or have been in contact with someone who has COVID-19. In addition, you must be experiencing the following symptoms: fever, cough or shortness of breath."
Community Health of South Florida Marathon Health Center,"2805 Overseas Highway, Marathon, FL 33050",FL,33050,(305) 216-2107,"Those looking to get tested must call this number (305) 216-2107 for a screening. If you meet the criteria, you will be registered in the system and tested by appointment only on saturdays. Patients need to meet the following criteria: Must be a resident of Monroe County. They have recently traveled to any of the high-risk countries or have been in contact with someone who has COVID-19. In addition, they might be experiencing the following symptoms: fever, cough or shortness of breath."
Community Health: Davis Pkwy,"450 W Davis Pkwy, Florida City, FL 33034",FL,33034,(305)252-4820,"No need to call first, and no appointment necessary."
Community Health: Loren Roberts Park,"627 NW 6th Avenue, Florida City, FL 33034",FL,33034,(305)252-4820,"No need to call first, and no appointment necessary."
Downtown Baker Hospital Telford Parking Garage,"350 7th St N, Naples, FL 34102",FL,34102,(239) 624-4443,"By APPOINTMENT ONLY starting Monday, March 30 at 10am. You must have an order from your PCP to be tested. We have increased the number of slots available for next week and are able to offer testing for up to 50 patients per day, Monday thru Friday. We require a physician’s order and updated insurance information when making the appointment."
Family Health Source - Daytona Beach,"960 S. Williamson Boulevard, Daytona Beach, FL 32114",FL,32114,(386) 327-6045,"Patients are to go to the testing sites and be screened in person. Present insurance card and ID, if no insurance, you may still be tested."
Family Health Source - Deland,"1205 S. Woodland Boulevard, Deland, FL 32720",FL,32720,(386) 327-6045,"Patients are to go to the testing sites and be screened in person. Present insurance card and ID, if no insurance, you may still be tested."
Family Health Source - Deltona,"1200 Deltona Boulevard, Deltona, FL 32725",FL,32725,(386) 327-6045,"Patients are to go to the testing sites and be screened in person. Present insurance card and ID, if no insurance, you may still be tested."
"FastTrack Urgent Care- Tampa General Hospital, Lumsden Rd","799 W Lumsden Rd, Brandon, FL 33511",FL,33511,(813) 925-1903,Only Patients That Meet CDC Guidelines Prescreening Required
FEMA/National Guard/FL Department of Health (HardRock Stadium),"347 Don Shula Drive, Miami Gardens, FL 33056",FL,33056,(305) 499-8767,"Must call the appointment line to schedule an appointment for the following day. Phone line closes down once appointments are filled for the following day. First responders and healthcare staff, including police, fire-rescue, medical staff and essential staff that is supporting the management agencies during the novel coronavirus pandemic can be tested. You must have COVID-19 symptoms and be prepared to show ID. People who are 65 or older with COVID-19 symptoms and have chronic conditions. You must show ID. Individuals who are experiencing COVID-19 symptoms and have recently traveled internationally on a cruise or plane or have a compromised immune system. You must show ID. Homebound residents 45 or older experiencing symptoms associated with COVID-19."
FITTEAM Ballpark of the Palm Beaches (West Palm Beach),"5444 Haverhill Rd, West Palm Beach, FL 33407",FL,33407,(561) 642-1000,"You can only get tested if you have an appointment, which you can schedule by calling 561-642-1000. A staff member will screen you over the phone, asking about your symptoms, whether you've traveled recently, or if you've come in contact with anyone who has COVID-19."
Flagler Hospital,"400 Health Park Blvd, St Augustine, FL 30286",FL,30286,(904) 819-5155,"f you come on campus, you will see there is a tent and mobile clinic in the parking lot B at Flagler Health+. Please note that this is NOT one of the drive through testing sites you have seen or heard about on the news. This outdoor test collection site has been established for patients who have a physician order for COVID-19 testing and have pre-registered. Prescreening through FlaglerHealthAnywhere.com or Flagler Health+ App for phones. $25 online doctor visit with promo code FlaglerHealth2020"
Florida Department of Health in Alachua - Main Site - Gainesville,"224 SE 24th Street, Gainesville, FL 32641",FL,32641,(866) 779-6121,"Call your doctor or your County Health Department if you think you have been exposed to COVID-19 and develop a fever and symptoms, such as cough or difficulty breathing. Tell them about your symptoms and your exposure. They will decide whether you need to be tested. Consult your health care provider for any other symptoms that are severe or concerning."
"FoundCare, Drive Thru West Palm Beach","2330 S. Congress Ave., West Palm Beach, FL 33406",FL,33406,(561) 967-0365,Patients are to call (561) 642-1000. The appointment line will close when the appointments for the following day are booked up.
Home Testing for Homebound Residents (Non Miami),N/A,N/A,N/A,Report an error,"Senior citizens and individuals over the age of 18 with disabilities who are experiencing symptoms but are homebound may call to request a COVID-19 test to be performed at their home by Miami-Dade Fire Rescue staff .You must first make an appointment by calling 305-499-8767 starting at 9 a.m., seven days a week. The appointment line remains open until all appointments have been issued. The program is countywide except for the City of Miami, which has its own Home Testing Program."
In Home Tests for Seniors - Miami,N/A,N/A,N/A,Report an error,"Miami Fire-Rescue is offering free, in-home COVID-19 testing for homebound local seniors, age 65 and above, who are experiencing symptoms and don’t have access to transportation. If you know someone who fits this criteria, please direct them to call 305-960-5050 for assistance. Phone screening required."
Jessie Trice Community Health,"5361 NW 22nd Ave, Miami, FL 33142",FL,33142,(305) 694-6268,Must meet CDC guidelines for testing. Call before coming to the clinic for phone assessment and to confirm if testing is warranted.
Key Biscayne Home Testing,N/A,N/A,N/A,Report an error,"Senior citizens 65 and older who live in Key Biscayne and are experiencing COVID-19 symptoms (fever, cough, shortness of breath) can call Key Biscayne’s KB COVID Hotline at 305-365-8910 to request an appointment. Callers will be screened during the phone call to see if they qualify for the home testing."
Larkin Community Hospital,"1475 W. 49th Place, Hialeah, FL 33012",FL,33012,(305) 830-0790,"In compliance with the Families First Coronavirus Response Act and Coronavirus Aid, Relief and Economic Security Act, the cash price for this test is $150. For more information, you may visit: cvtesting.larkinhospital.com Right now they do not accept Medicare, Medicaid, or other government or private insurances."
"Lee Convenient Care, Page Field","4771 S Cleveland Avenue, Fort Myers, FL 33907",FL,33907,(239) 343-9800,Must be on a Lab Slip from their doctor. Patients must have an order from their physician or provider and make an appointment before showing up to the collection site.
Lee Health Cape Coral,"1510 Sports Boulevard, Cape Coral, FL 33991",FL,33991,(239) 343-9800,Appointment Required Doctor's Order Required Photo ID Required Doctors orders from Lee Health
Marathon Community Park,"200 City Marina, Marathon, FL 33050",FL,33050,(305) 252-4820,Monroe County residents who are feeling COVID-19 symptoms and have made an appointment can be tested for COVID-19.
Marlins Park (Jackson Health System),"501 Marlins Way, Miami, FL 33125",FL,33125,(305) 499-8767,Must call the appointment line to schedule an appointment for the following day. Phone line closes down once appointments are filled for the following day. City residents ages 18 years and older who are experiencing symptoms can get tested.
MedRite Miami Beach,"4621 Collins Avenue, Miami Beach, FL 33140",FL,33140,(305) 735-3909,"Requires pre-registraiton. CDC Guidelines for testing. Private vehicles only (no pedestrians, bicycles, scooters). No-walk ups. You will need to remain in your vehicle at all times."
"Memorial Regional Hospital South, Drive Thru (CB Smith Park)","900 N Flamingo Rd, Pembroke Pines, FL 33028",FL,33028,(954) 966-4500,"The test site is drive-thru only at C.B. Smith Park, and it’s not equipped to take pedestrians, bikers or other types of traffic because the test will be provided only through the window of a car. Do not eat or drink 2 hours prior and no hot beverages or alcohol before testing. Patients who are not ill should not come to the testing site. If the person does not meet the criteria, they will be directed to the exit."
Miami-Dade County Youth Fairgrounds,"10901 Coral Way, Miami, FL 33165",FL,33165,(305) 499-8767,Must call appointment line for an appointment the following day. The phone line closes once all available appointments have been taken. Individuals 18 years of age and older who have COVID-19 symptoms can get tested. You will not be permitted to exit your vehicle and only one other passenger is allowed in the car. Both driver and passenger will be tested. You cannot walk-up to this site.
New River Health,"1801 N. Temple Avenue, Starke, FL 32091",FL,32091,(904) 964-7732,Physicans orders are recommended but you do not have a PCP call (904) 964-7732 before coming in for testing.
Northside Hospital,"6000 49th St N, St Petersburg, FL 33709",FL,33709,(727) 521-4411,"Before you go to a testing center, it’s very important that you call the facility ahead of time even if there are long hold times on the phone. They’ll help you understand the requirements specific to visiting their facility, and they’ll give you guidance on how to protect yourself and others from exposure to COVID-19 and other viruses like the flu. Most testing sites require a referral from a provider."
OMNI Healthcare - Melbourne,"1344 S. Apollo Boulevard, Melbourne, FL 32901",FL,32901,(321) 802-5515,Site will open at 8 AM on April 7. Patients will have to be pre-screened and will have to pre-register by calling 321-802-5515. Patients will be asked if they meet the following criteria: First responders Anyone with minimal symptoms of a cough or low-grade fever Anyone over the age of 45 with one chronic illness Anyone over the age of 60 OMNI Healthcare physicians will review the results with each patient through a virtual service.
Orange County Convention Center,"5980 Destination Parkway, Orlando, FL 32819",FL,32819,https://www.occc.net/coronavirus,"A drive-thru, community-based Coronavirus (COVID-19) testing site will open on Wednesday, March 25 at 9 a.m. at the Orange County Convention Center for individuals that meet select criteria. Testing will be available only for anyone regardless of age who has COVID-19 symptoms, has had sustained close contact with someone who’s tested positive or who is a first responder or health care worker can be tested on site The test site is drive-thru only and will be limited to 250 tests per day. Plan accordingly, be patient and be prepared to wait inside your vehicle."
Orange County Convention Center Drive-Through,"9400 Universal Blvd, Orlando, FL 32819",FL,32819,(407) 723-5004,"The Orange County Convention Center testing site is operating daily, North Concourse Parking Lot. For the first time, anyone who had close contact with a confirmed case can get tested at the Orange County Convention Center even if they're not showing symptoms."
"Premier Medical Associates, Ocala State Rd","9311 SW State Rd 200, Ocala, FL 34481",FL,34481,(352) 561-3182,"Premier Medical Associates offices in Ocala is offering drive-thru testing and can be scheduled after a tele-visit with a doctor, call (352) 561-3182. Patients stay in their cars next to tents in the parking lot."
Prime Osborn Convention Center,"1000 Water St, Jacksonville, FL 32204",FL,32204,(904) 373-5304,"The city of Jacksonville, Baptist Health and Telescope Health opened a drive-thru testing site in the parking lot of the Prime Osborn Convention Center in LaVilla. To get screened and receive the necessary Telescope Health physician order for a drive-thru test, patients must take the following steps: 1.) Go to telescopehealth.com or download the Telescope Health app in the Apple or Android app store and register for a free account. The one-time registration process takes a few minutes and will not need to be repeated for future visits. 2.) At the payment screen, enter the promo code HERE4YOU for the discounted rate of $25 per visit. The City of Jacksonville will refund this amount at a later date for those Duval County residents who are tested. 3.) Complete your virtual doctor visit during the hours of 6 a.m. to midnight any day of the week using any phone or tablet device equipped with a camera and microphone. The physician you speak with will determine if you meet CDC criteria for COVID-19 testing, which currently includes: A fever of 100.4°F or higher combined with either a dry cough or shortness of breath, OR Travel on any cruise ship within the past 14 days or travel to a known COVID-19 hotspot and are experiencing any of the symptoms above. Testing will be prioritizing those in the community who are ages 65 are over, have pre-existing conditions, are healthcare workers and/or first responders TESTING PROCESS DETAILS If deemed to meet CDC criteria for COVID-19 testing, the physician will send you an order for testing at the drive-thru location at a specific date and time (and you must bring this order with you to the testing site). Physician orders from other sources will not be accepted. To get tested at the drive-thru: Bring your driver’s license and Telescope Health physician order. You may show it on your phone or print out the order showing name, date and time of appointment and place it on your dashboard. For any signature required as part of the testing process, patients are asked to bring their own pen to avoid exposing others. Stay in your car, don’t roll down your window, and follow the instructions on the signage or provided by staff. A staff member wearing personal protective equipment (PPE) will perform a nasal swab that will be sent to a state-approved lab for testing. Results should take 3-5 days and all who are tested WILL receive a phone call to the number entered during the Telescope Health registration process. To avoid long lines and to encourage social distancing, patients will be assigned to hourly time slots to come to the site for their test. Patients without an assigned time slot and order from Telescope Health will be turned away. Patients do not need health insurance to get tested, and the cost for the Telescope Health virtual physician visit and test will be $25 for those using the HERE4YOU promo code (the cost will be $49 for those not using the promo code). Virtual visits to be done at telescopehealth.com Once again, Jacksonville residents will be refunded this amount by the City of Jacksonville at a later date for those Duval County residents who are tested."
South County Civic Center,"16700 Jog Rd, Delray Beach, FL 33446",FL,33446,(561) 804-0250,"Residents can start making appointments Monday, April 6 at 10 a.m. Appointments can be made by calling 561-804-0250. The phone line will be open from 7 a.m. to 7 p.m., 7 days a week."
South Dade Government Center,"10710 SW 211th Street, Cutler Bay, FL 33189",FL,33189,(305) 499-8767,Must call appointment line for an appointment the following day. The phone line closes once all available appointments have been taken. Individuals 18 years of age and older who have COVID-19 symptoms can get tested. You will not be permitted to exit your vehicle and only one other passenger is allowed in the car. Both driver and passenger will be tested. You cannot walk-up to this site. Located at Lot E behind the building.
St. Petersburg General Hospital,"6500 38th Ave N, St Petersburg, FL 33710",FL,33710,(727) 384-1414,"Before you go to a testing center, it’s very important that you call the facility ahead of time even if there are long hold times on the phone. They’ll help you understand the requirements specific to visiting their facility, and they’ll give you guidance on how to protect yourself and others from exposure to COVID-19 and other viruses like the flu. Most testing sites require a referral from a provider."
"Tallahassee Memorial HealthCare, Northwood Centre","1940 North Monroe St., Tallahassee, FL 32303",FL,32303,(850) 431-1155,"This site is only open for patients who have an order sent from a physician for testing. You will need to contact your healthcare provider for eligibility. Healthcare providers will determine patient needs for COVID-19 testing. An order will be sent to the drive-thru sample collection site: Northwood Centre 1940 North Monroe St. Tallahassee, FL 32303. The sample collection site will be open Monday – Friday from 11 am – 6 pm."
"Tampa General Hospital, Gunn Hwy","4505 Gunn Highway, Tampa, FL 33624",FL,33624,(813) 925-1903,Only Patients That Meet CDC Guidelines Prescreening Required
TIAA Bank Field (City of Jacksonville),"1 TIAA Bank Field Dr, Jacksonville, FL 32202",FL,32202,(866) 779-6121,"The federally-sponsored drive-thru COVID-19 testing site at TIAA Bank Field in parking lot J will expand testing criteria, effective immediately. All ages will now be accepted, although patients must still meet certain guidelines. These include: On-site temperature of 99.6 or higher Patient MUST ALSO have respiratory symptoms First responders and healthcare workers who have direct contact with patients will also be tested, regardless of symptoms. Please bring work ID. This site will operate seven days a week from 9 a.m. to 5 p.m. for as long as supplies last. While a doctor’s order and appointment are not required at this location, clients will be evaluated by a medical professional on site. Patients who do not meet the criteria will not receive a test and will be sent home. Those attempting to be tested should: Bring their own pen Photo Identification Refrain from taking any fever-reducing medicine four to six hours before testing Remain inside of vehicle at all times A maximum of four people per car will be screened and tested; each person must be sitting at a functioning window. Additional passengers will be asked to move to the back of the line or return the following day. As long lines are expected, please follow the directions of Jacksonville Sheriff’s Office traffic officers. Drivers coming from the West side of town should use Bay Street. Drivers coming from the East side should use Gator Bowl Boulevard."
UF Health - Jacksonville (Brentwood),"3465 Village Center Drive, Jacksonville, FL 32206",FL,32206,(904) 244-4420,"Testing will be focused on those over 65 years old, and those who are UF Health Jacksonville patients. Others may be tested dependent upon test availability."
UF Health Leesburg Hospital Urgent Care,"550 E Dixie Ave, Leesburg, FL 34748",FL,34748,(352) 323-5762,"Before you go to a testing center, it’s very important that you call the facility ahead of time even if there are long hold times on the phone. They’ll help you understand the requirements specific to visiting their facility, and they’ll give you guidance on how to protect yourself and others from exposure to COVID-19 and other viruses like the flu. Most testing sites require a referral from a provider."
University of Central Florida/Aventus Biolabs,"12491 University Boulevard - Garage A, Orlando, FL 32816",FL,32816,(855) 282-4860,"To test at UCF, you must have symptoms and be prescribed a test by a healthcare provider. Then you can schedule an appointment. UCF said the test takes less than 10 minutes. To schedule an appointment, patients can contact Aventus at 855-282-4860. Patients will be screened for symptoms and will be issued an order if they qualify for testing, according to UCF officials. Patients whose insurance does not cover the COVID-19 test will be charged the Medicare rate of $51, according to Aventus Health. UCF said students can obtain an ordered test from Student Health Services telehealth by calling 407-823-2701."
West Kendall Baptist Hospital,"9555 SW 162nd Ave, Miami, FL 33196",FL,33196,(786) 467-2000,"Must have a virtual screening with a provider. Use either the app or from their website baptisthealth.net/careondemand. Before you go to a testing center, it’s very important that you call the facility ahead of time even if there are long hold times on the phone. They’ll help you understand the requirements specific to visiting their facility, and they’ll give you guidance on how to protect yourself and others from exposure to COVID-19 and other viruses like the flu. Most testing sites require a referral from a provider."
Archbold Medical Center,"2705 E Pinetree Blvd, Thomasville, GA 31792",GA,31792,(229) 228-2273,"We have opened a COVID-19 Screening Site in the old One Blood building near the Archbold Home Care store in Thomasville. The site, located at 2705-D East Pinetree Blvd, will be open from 9a.m. to 5p.m., Monday through Friday. The screening service will be by physician referral only—not a walk-in basis—and only for those that are exhibiting symptoms of COVID-19 or are known to have been directly exposed to a person who is confirmed COVID-19 positive."
Allcare,"3867 Roswell Rd NE, Atlanta, GA 30342",GA,30342,(678) 904-5611,"To confirm if you are eligible for testing, first step is to book a Video Visit (Telemedicine) with any of our Drs. to discuss if you need a covid-19 and other tests too. If confirmed you need a test, the DR will tell you the location to go to for your Drive-thru testing. You will stayi in your car the entire time. We will do the swab. The staff will meet you at the rear of the parking lot off of Roswell Ave."
Augusta University Medical Center,"3109 Wrightsboro Road, Augusta, GA 30909",GA,30909,(706) 721-1852,Assessment must be done first through the Augusta University free COVID-19 virtual screening app or on their website. Only people who has been determined to be at high risk for COVID-19 through the virtual assessment will be allowed to tested. Approved people will be able to drive up and get tested for coronavirus between the hours of 10 a.m. and 2 p.m. daily. COVID-19 drive-thru testing clinic located at Christenberry Fieldhouse.
Cartersville Medical Center,"960 Joe Frank Harris Pkwy, Cartersville, GA 30120",GA,30120,(470) 490-1000,Individuals must meet CDC criteria for testing and must be referred by a medical professional.
CVS Health Mobile Testing Site (Georgia Tech Campus),"352 Peachtree Place, Atlanta, GA 30332",GA,30332,(866) 389-2727,"This is a drive-through testing site offering the new rapid testing process that provides results in less than 30 minutes. COVID-19 testing will be available to eligible individuals who meet criteria established by the Centers for Disease Control and Prevention, in addition to state residency and age guidelines. Patients will need to pre-register in advance online at https://www.cvs.com/minuteclinic/covid-19-testing in order to schedule a same-day time slot for testing."
Emory Decatur Hospital,"2701 N Decatur Rd, Decatur, GA 30033",GA,30033,(404) 712-6843,"If you think you have COVID-19, the best thing to do is stay home and isolate yourself. Always call your health care provider before going to the office. Avoid going to an emergency room unless you have any or all of these symptoms: Shortness of breath Dizziness Confusion Persistent high fevers Worsening symptoms after you initially started to feel better Your health care provider will determine if you need to be tested and you will need to be referred by a nurse. Testing is most important if you have symptoms of a fever or respiratory infection and one of the following:　 Are sick enough to need to be in a hospital. Have risk factors for a more severe infection such as heart, lung, or kidney disease, diabetes or a compromised immune system. Work or live in a communal setting (e.g. a hospital, daycare, college dorm, or nursing home).Patient to call helpline and be directed to location based on availability If you do not have a health care provider call the Emory COVID-19 hotline for information on getting tested."
Emory Hillandale Hospital,"2801 Dekalb Medical Pkwy, Lithonia, GA 30058",GA,30058,(404) 712-6843,"If you think you have COVID-19, the best thing to do is stay home and isolate yourself. Always call your health care provider before going to the office. Avoid going to an emergency room unless you have any or all of these symptoms: Shortness of breath Dizziness Confusion Persistent high fevers Worsening symptoms after you initially started to feel better Your health care provider will determine if you need to be tested and you will need to be referred by a nurse. Testing is most important if you have symptoms of a fever or respiratory infection and one of the following:　 Are sick enough to need to be in a hospital. Have risk factors for a more severe infection such as heart, lung, or kidney disease, diabetes or a compromised immune system. Work or live in a communal setting (e.g. a hospital, daycare, college dorm, or nursing home).Patient to call helpline and be directed to location based on availability If you do not have a health care provider call the Emory COVID-19 hotline for information on getting tested."
Emory Hospital Midtown,"550 Peachtree St NE, Atlanta, GA 30308",GA,30308,(404) 712-6843,"If you think you have COVID-19, the best thing to do is stay home and isolate yourself. Always call your health care provider before going to the office. Avoid going to an emergency room unless you have any or all of these symptoms: Shortness of breath Dizziness Confusion Persistent high fevers Worsening symptoms after you initially started to feel better Your health care provider will determine if you need to be tested and you will need to be referred by a nurse. Testing is most important if you have symptoms of a fever or respiratory infection and one of the following:　 Are sick enough to need to be in a hospital. Have risk factors for a more severe infection such as heart, lung, or kidney disease, diabetes or a compromised immune system. Work or live in a communal setting (e.g. a hospital, daycare, college dorm, or nursing home).Patient to call helpline and be directed to location based on availability If you do not have a health care provider call the Emory COVID-19 hotline for information on getting tested."
Emory John Creek Hospital,"6325 Hospital Pkwy, Johns Creek, GA 30097",GA,30097,(404) 712-6843,"If you think you have COVID-19, the best thing to do is stay home and isolate yourself. Always call your health care provider before going to the office. Avoid going to an emergency room unless you have any or all of these symptoms: Shortness of breath Dizziness Confusion Persistent high fevers Worsening symptoms after you initially started to feel better Your health care provider will determine if you need to be tested and you will need to be referred by a nurse. Testing is most important if you have symptoms of a fever or respiratory infection and one of the following:　 Are sick enough to need to be in a hospital. Have risk factors for a more severe infection such as heart, lung, or kidney disease, diabetes or a compromised immune system. Work or live in a communal setting (e.g. a hospital, daycare, college dorm, or nursing home).Patient to call helpline and be directed to location based on availability If you do not have a health care provider call the Emory COVID-19 hotline for information on getting tested."
Emory Saint Joseph's Hospital,"5665 Peachtree Dunwoody Rd, Atlanta, GA 30342",GA,30342,(404) 712-6843,"If you think you have COVID-19, the best thing to do is stay home and isolate yourself. Always call your health care provider before going to the office. Avoid going to an emergency room unless you have any or all of these symptoms: Shortness of breath Dizziness Confusion Persistent high fevers Worsening symptoms after you initially started to feel better Your health care provider will determine if you need to be tested and you will need to be referred by a nurse. Testing is most important if you have symptoms of a fever or respiratory infection and one of the following:　 Are sick enough to need to be in a hospital. Have risk factors for a more severe infection such as heart, lung, or kidney disease, diabetes or a compromised immune system. Work or live in a communal setting (e.g. a hospital, daycare, college dorm, or nursing home).Patient to call helpline and be directed to location based on availability If you do not have a health care provider call the Emory COVID-19 hotline for information on getting tested."
Emory University Hospital,"1364 Clifton Rd NE, Atlanta, GA 30322",GA,30322,(404) 712-6843,"If you think you have COVID-19, the best thing to do is stay home and isolate yourself. Always call your health care provider before going to the office. Avoid going to an emergency room unless you have any or all of these symptoms: Shortness of breath Dizziness Confusion Persistent high fevers Worsening symptoms after you initially started to feel better Your health care provider will determine if you need to be tested and you will need to be referred by a nurse. Testing is most important if you have symptoms of a fever or respiratory infection and one of the following:　 Are sick enough to need to be in a hospital. Have risk factors for a more severe infection such as heart, lung, or kidney disease, diabetes or a compromised immune system. Work or live in a communal setting (e.g. a hospital, daycare, college dorm, or nursing home).Patient to call helpline and be directed to location based on availability If you do not have a health care provider call the Emory COVID-19 hotline for information on getting tested."
Emory Unversity Hospital at Wesley Woods,"1821 Clifton Rd NE, Atlanta, GA 30329",GA,30329,(404) 712-6843,"If you think you have COVID-19, the best thing to do is stay home and isolate yourself. Always call your health care provider before going to the office. Avoid going to an emergency room unless you have any or all of these symptoms: Shortness of breath Dizziness Confusion Persistent high fevers Worsening symptoms after you initially started to feel better Your health care provider will determine if you need to be tested and you will need to be referred by a nurse. Testing is most important if you have symptoms of a fever or respiratory infection and one of the following:　 Are sick enough to need to be in a hospital. Have risk factors for a more severe infection such as heart, lung, or kidney disease, diabetes or a compromised immune system. Work or live in a communal setting (e.g. a hospital, daycare, college dorm, or nursing home).Patient to call helpline and be directed to location based on availability If you do not have a health care provider call the Emory COVID-19 hotline for information on getting tested."
Floyd Medical Center,"304 Turner McCall Blvd, Rome, GA 30165",GA,30165,(706) 509-5000,Floyd is following Georgia Department of Public Health and CDC screening protocols along with infection control best practices to keep our staff and patients safe.
Georgia Dept of Public Health - Cherokee,"7545 Main St., Woodstock, GA 30188",GA,30188,(404) 481-2321,The Georgia Department of Public Health has created a Specimen Point of Collection (SPOC) in Cherokee County. The SPOC site will be open starting today. At this time testing is NOT open to the general public and will be limited to persons 60 and older with symptoms of CoVid-19. Persons 60 and older with symptoms of CoVid-19 must contact their Healthcare Provider to be screened and entered into the Public Health Referral System. They will receive an appointment time and “Person Under Investigation” (PUI) number. Those without a PUI number will not be tested at this time.
Georgia International Horse Park Drive Thru,"1996 Centennial Olympic Pkwy NE, Conyers, GA 30013",GA,30013,(770) 513-5631,Testing at the site will be by appointment only and is open to anyone in the general public who believes they are ill with COVID-19. Interested individuals should call 770-513-5631 to find out if they’re eligible and to schedule a time for their appointment. Transportation to and from the testing site is required.
Grady Health Medical Center,"80 Jesse Hill Jr Drive SE, Atlanta, GA 30303",GA,30303,(404) 616-1000,"We are prioritizing the tests for people with underlying health conditions or serious illness. Testing may become more readily available in the future, but for now, if you have mild symptoms (cough, fever), you need to stay home and stay away from people."
Jim Miller Park,"2245 Callaway Rd SW, Marietta, GA 30008",GA,30008,(404) 481-2321,drive-through testing facility at Jim R. Miller Park for COVID-19. This facility will NOT be open to the general public.
MercyMed of Columbus,"3702 2nd Avenue, Columbus, GA 31904",GA,31904,(706) 507-9209,MercyMed of Columbus and the Columbus Health Department are partnering to provide COVID-19 screening and specimen collection. The Columbus Health Department will screen patients via telephone. MercyMed staff will collect samples for testing by appointment only for patients who meet the criteria. The Columbus Health Department will screen patients via telephone. People interested in being tested have to call 706-321-6300. Testing will be done by appointment for patients who meet the defined criteria. That testing is scheduled to be done from a patient’s car in a tent outside the MercyMed office.
Navicent Health Baldwin (Amerimed),Report an error,an,error,N/A,"Individuals concerned that they may have contracted COVID-19 may contact Amerimed at 1-800-902-8800 to request an in-home test. Amerimed will screen callers and test individuals who meet criteria for COVID-19. If an individual meets the criteria for testing, they can discuss options for testing with Amerimed’s healthcare provider. Testing may be done in the home, vehicle or another appropriate location, for the caller’s convenience. Healthcare providers may refer their patients directly to Amerimed, or call Amerimed for their patients, if desired."
Phoebe Putney Memorial Hospital,"417 W. Third Ave, Albany, GA 31701",GA,31701,(229) 312-1919,"In an effort to screen more patients for COVID-19 symptoms, Phoebe is expanding its coronavirus hotline and has opened a drive-through screening facility in Albany and Americus. Anyone who wants to be tested at the temporary screening sites MUST do the following: 1) Call the Phoebe COVID-19 Hotline at 229-312-1919. COVID-19 test kits remain in limited supply. Only people who are experiencing symptoms should be tested. Symptomatic individuals who pass an initial phone screening will be given an appointment and instructed where to go for in-person screening that is most convenient for them. 2) When a pre-screened patient drives up at the testing location, the patient will have to show identification, and then medical professionals wearing personal protective equipment will obtain the necessary swab. Those tests will be sent out to the lab as soon as possible. It may be several days before results come back, so we’ll give each patient some information on how they can safely isolate themselves at home, pending the test results. 3) Older individuals and those with chronic medical conditions and compromised immune systems are at greater risk for severe complications from COVID-19, and they are at a higher priority for testing. People who are not exhibiting active symptoms are asked not to call the hotline so nurses are able to focus on higher risk individuals."
Piedmont Athens Regional - Oconee Health Campus,"1305 Jennings Mill Road, Watkinsville, GA 30677",GA,30677,(866) 460-1119,"At this time, testing is being completed with a physician order and for patients who meet certain criteria, as provided by the CDC and the Georgia Department of Public Health. Individuals must meet CDC criteria for COVID-19 screening. No drop ins welcome. Please call ahead to schedule an appointment."
South Georgia Medical Center,"4280 North Valdosta Road, Valdosta, GA 31602",GA,31602,(229) 433-1000,South Georgia Medical Center opened a drive thru COVID-19 Screening Station at its Smith Northview location at 4280 North Valdosta Road at the west side (left) of the Smith Northview Campus where a drive thru already exists. The drive thru COVID-19 Screening Station will allow members of the community to conveniently drive through a covered station and safely receive a free basic assessment of their symptoms by a healthcare professional while remaining in their vehicle. COVID-19 testing can be accessed during the drive thru if the assessment indicates further evaluation and testing is needed. The process will open 8am-5pm Monday thru Friday with a goal of opening seven days a week until the COVID-19 community spread situation has subsided.
Sugar Hill Church Drive Thru Testing,"5091 Nelson Brogdon Boulevard, Sugar Hill, GA 30518",GA,30518,(877) 262-1003,"In partnership with Life Hope and Einstein Genius Care, a drive-through for COVID-19 testing has been set up outside a church in Gwinnett County. If you feel that you are at risk of contracting COVID-19: 1) Call 877-262-1003 or visit LifeHope.com and answer questions to determine if you're at risk. 2) If you're approved, you'll be directed to a drive-up location where a nasal swab sample will be collected. 3) Your sample will be sent to the LifeHope Super Lab for testing and results will be available within 24 hours. 4) You may also request advanced testing to determine the cause of your symptoms if other than COVID-19. The test site is in the front parking lot of Sugar Hill Church at 5091 Nelson Brogdon Boulevard."
